yr 	   mo dy hr 	z     x		y				tdef	tair    rh         wspd   wdir      prec    
 2012  9  9 13.00   149  560599.0 7626795.2    91.0     4.80    86.40     4.69   344.50     0.00
 2012  9  9 14.00   149  560599.0 7626795.2    91.0     5.14    86.30     4.62   347.20     0.00
 2012  9  9 15.00   149  560599.0 7626795.2    91.0     5.15    84.00     4.61   179.06     0.00
 2012  9  9 16.00   149  560599.0 7626795.2    91.0     4.04    92.75     4.31    10.61     0.00
 2012  9  9 17.00   149  560599.0 7626795.2    91.0     4.27    95.00     3.24   353.70     0.00
 2012  9  9 18.00   149  560599.0 7626795.2    91.0     4.23    94.85     4.09   356.50     0.00
 2012  9  9 19.00   149  560599.0 7626795.2    91.0     3.88    95.00     3.56   349.75     0.00
 2012  9  9 20.00   149  560599.0 7626795.2    91.0     3.69    95.00     4.26   180.32     0.00
 2012  9  9 21.00   149  560599.0 7626795.2    91.0     3.38    95.00     4.12    10.71     0.00
 2012  9  9 22.00   149  560599.0 7626795.2    91.0     3.15    95.00     4.95    24.84     0.00
 2012  9  9 23.00   149  560599.0 7626795.2    91.0     2.63    95.00     4.94    26.93     0.00
 2012  9 10  0.00   149  560599.0 7626795.2    91.0     1.90    95.00     4.47    18.81     0.00
 2012  9 10  1.00   149  560599.0 7626795.2    91.0     1.71    95.00     4.28    15.25     0.00
 2012  9 10  2.00   149  560599.0 7626795.2    91.0     1.81    95.00     4.78    14.70     0.00
 2012  9 10  3.00   149  560599.0 7626795.2    91.0     1.61    95.00     5.06    19.70     0.00
 2012  9 10  4.00   149  560599.0 7626795.2    91.0     1.30    95.00     4.18    11.73     0.00
 2012  9 10  5.00   149  560599.0 7626795.2    91.0     1.28    95.00     4.25     7.73     0.00
 2012  9 10  6.00   149  560599.0 7626795.2    91.0     1.41    95.00     4.88     5.47     0.00
 2012  9 10  7.00   149  560599.0 7626795.2    91.0     1.59    95.00     5.12     6.88     0.00
 2012  9 10  8.00   149  560599.0 7626795.2    91.0     1.83    95.00     4.87     9.11     0.00
 2012  9 10  9.00   149  560599.0 7626795.2    91.0     2.18    95.00     4.78     6.37     0.00
 2012  9 10 10.00   149  560599.0 7626795.2    91.0     2.87    95.00     6.10    18.21     0.00
 2012  9 10 11.00   149  560599.0 7626795.2    91.0     3.37    95.00     6.26    21.24     0.00
 2012  9 10 12.00   149  560599.0 7626795.2    91.0     3.80    89.35     6.14    19.90     0.00
 2012  9 10 13.00   149  560599.0 7626795.2    91.0     4.17    91.55     5.83    26.25     0.00
 2012  9 10 14.00   149  560599.0 7626795.2    91.0     4.38    89.50     6.10    24.52     0.00
 2012  9 10 15.00   149  560599.0 7626795.2    91.0     4.36    94.45     5.98    19.79     0.00
 2012  9 10 16.00   149  560599.0 7626795.2    91.0     4.13    92.80     6.48    17.34     0.00
 2012  9 10 17.00   149  560599.0 7626795.2    91.0     3.58    93.30     5.81    16.77     0.00
 2012  9 10 18.00   149  560599.0 7626795.2    91.0     3.51    93.50     5.48    23.14     0.00
 2012  9 10 19.00   149  560599.0 7626795.2    91.0     3.75    92.00     5.39    16.13     0.00
 2012  9 10 20.00   149  560599.0 7626795.2    91.0     3.75    92.20     5.11    16.98     0.00
 2012  9 10 21.00   149  560599.0 7626795.2    91.0     3.50    94.95     4.58    19.01     0.00
 2012  9 10 22.00   149  560599.0 7626795.2    91.0     3.21    95.00     4.91    19.87     0.00
 2012  9 10 23.00   149  560599.0 7626795.2    91.0     2.62    95.00     4.66    13.55     0.00
 2012  9 11  0.00   149  560599.0 7626795.2    91.0     2.55    95.00     4.20     6.75     0.00
 2012  9 11  1.00   149  560599.0 7626795.2    91.0     2.80    95.00     4.17    14.46     0.00
 2012  9 11  2.00   149  560599.0 7626795.2    91.0     2.86    95.00     3.98    20.66     0.00
 2012  9 11  3.00   149  560599.0 7626795.2    91.0     2.86    95.00     3.92    23.34     0.00
 2012  9 11  4.00   149  560599.0 7626795.2    91.0     2.65    95.00     4.25    22.52     0.00
 2012  9 11  5.00   149  560599.0 7626795.2    91.0     2.35    95.00     3.71    19.46     0.00
 2012  9 11  6.00   149  560599.0 7626795.2    91.0     1.89    95.00     3.14    15.61     0.00
 2012  9 11  7.00   149  560599.0 7626795.2    91.0     1.92    95.00     2.78    21.86     0.00
 2012  9 11  8.00   149  560599.0 7626795.2    91.0     2.00    95.00     3.12    38.43     0.00
 2012  9 11  9.00   149  560599.0 7626795.2    91.0     2.39    95.00     2.95    46.52     0.00
 2012  9 11 10.00   149  560599.0 7626795.2    91.0     2.82    95.00     3.64    44.30     0.00
 2012  9 11 11.00   149  560599.0 7626795.2    91.0     3.41    95.00     3.39    45.56     0.00
 2012  9 11 12.00   149  560599.0 7626795.2    91.0     3.84    95.00     3.50    32.67     0.00
 2012  9 11 13.00   149  560599.0 7626795.2    91.0     4.42    89.10     3.73    23.70     0.00
 2012  9 11 14.00   149  560599.0 7626795.2    91.0     4.42    88.70     3.60    24.48     0.00
 2012  9 11 15.00   149  560599.0 7626795.2    91.0     4.57    89.00     3.27    42.14     0.00
 2012  9 11 16.00   149  560599.0 7626795.2    91.0     4.08    95.00     3.42    18.88     0.00
 2012  9 11 17.00   149  560599.0 7626795.2    91.0     4.04    95.00     3.16    21.37     0.00
 2012  9 11 18.00   149  560599.0 7626795.2    91.0     4.06    95.00     3.62    17.74     0.00
 2012  9 11 19.00   149  560599.0 7626795.2    91.0     3.59    95.00     2.98   180.51     0.00
 2012  9 11 20.00   149  560599.0 7626795.2    91.0     3.18    95.00     2.66   180.34     0.00
 2012  9 11 21.00   149  560599.0 7626795.2    91.0     2.80    95.00     2.42     7.54     0.00
 2012  9 11 22.00   149  560599.0 7626795.2    91.0     2.14    95.00     2.29   353.75     0.00
 2012  9 11 23.00   149  560599.0 7626795.2    91.0     2.76    95.00     2.82    87.35     0.00
 2012  9 12  0.00   149  560599.0 7626795.2    91.0     2.06    95.00     1.89   125.05     0.00
 2012  9 12  1.00   149  560599.0 7626795.2    91.0     1.75    95.00     0.73   136.75     0.00
 2012  9 12  2.00   149  560599.0 7626795.2    91.0     1.71    95.00     0.45   126.25     0.00
 2012  9 12  3.00   149  560599.0 7626795.2    91.0     1.30    95.00     0.49    56.61     0.00
 2012  9 12  4.00   149  560599.0 7626795.2    91.0     0.46    95.00     0.58   312.75     0.00
 2012  9 12  5.00   149  560599.0 7626795.2    91.0     0.77    95.00     0.34    23.66     0.00
 2012  9 12  6.00   149  560599.0 7626795.2    91.0     0.79    95.00     0.06    80.84     0.00
 2012  9 12  7.00   149  560599.0 7626795.2    91.0     0.79    95.00     0.03   125.60     0.00
 2012  9 12  8.00   149  560599.0 7626795.2    91.0     0.67    95.00     0.37    80.47     0.00
 2012  9 12  9.00   149  560599.0 7626795.2    91.0     0.50    95.00     0.99   320.00     0.00
 2012  9 12 10.00   149  560599.0 7626795.2    91.0     0.85    95.00     0.97   316.45     0.00
 2012  9 12 11.00   149  560599.0 7626795.2    91.0     1.72    95.00     0.96   332.75     0.00
 2012  9 12 12.00   149  560599.0 7626795.2    91.0     2.09    95.00     1.02    27.36     0.00
 2012  9 12 13.00   149  560599.0 7626795.2    91.0     2.73    95.00     0.86    56.89     0.00
 2012  9 12 14.00   149  560599.0 7626795.2    91.0     3.17    95.00     1.91    47.73     0.00
 2012  9 12 15.00   149  560599.0 7626795.2    91.0     3.46    95.00     2.16    39.69     0.00
